[TABLES]
## TCGA_VERSIONED.DNA_METHYLATION_CHR22_HG38_GDC_2017_01
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
gnomAD_non_cancer_FIN_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer Finnish population
One_Consequence: TEXT | The single consequence of the canonical transcript in  sequence ontology terms, eg missense_variant
muse: TEXT | Muse caller identified the variant at this position
ESP_AA_AF: FLOAT | Non-reference allele and frequency of existing variant in NHLBI-ESP African American population
n_depth: NUMBER | Read depth across this locus in normal BAM
RNA_Support: TEXT | Indicates if the variant is found and alleles (Match), simply (Overlap), or is not supported (No) by tumor RNA-Seq. If it has not been checked against RNA-Seq data, the value will be 'Unknown'.
gnomAD_non_cancer_SAS_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer South Asian population
SOMATIC: TEXT | Somatic status of each ID reported under Existing_variation (0, 1, or null)
Validation_Method: TEXT | The assay platforms used for the validation call
gnomAD_NFE_AF: FLOAT | tFrequency of existing variant in gnomAD exomes Non-Finnish European population
PICK: TEXT | Indicates if this block of consequence data was picked by VEP's   pick feature (1 or null)
MAX_AF_POPS: TEXT | Populations in which maximum allele frequency was observed
t_depth: NUMBER | Read depth across this locus in tumor BAM
miRNA: TEXT | SO terms of overlapped miRNA secondary structure feature(s)
ThousG_EAS_AF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined East Asian population
HGVS_OFFSET: TEXT | Indicates by how many bases the HGVS notations for this variant have been shifted
HGNC_ID: TEXT | Gene identifier from the HUGO Gene Nomenclature Committee if applicable
Matched_Norm_Aliquot_UUID: TEXT | Unique GDC identifier for normal aliquot (10189 unique)
Tumor_Seq_Allele2: TEXT | Primary data genotype for tumor sequencing (discovery) allele 2. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases
dbSNP_Val_Status: TEXT | The dbSNP validation status is reported as a semicolon-separated list of statuses. The union of all rs-IDs is taken when there are multiple
t_ref_count: NUMBER | Read depth supporting the reference allele in tumor BAM
case_barcode: TEXT | Original case barcode, eg TCGA-DX-A8BN
RNA_depth: TEXT | Read depth at this locus if the variant is supported by tumor RNA-seq data.
BIOTYPE: TEXT | Biotype of transcript
Gene: TEXT | The gene symbol. In this table, gene symbol is gene name e.g. ACADVL
gnomAD_AF: FLOAT | Frequency of existing variant in gnomAD exomes combined population
Variant_Type: TEXT | Type of mutation. TNP (tri-nucleotide polymorphism) is analogous to DNP (di-nucleotide polymorphism) but for three consecutive nucleotides. ONP (oligo-nucleotide polymorphism) is analogous to TNP but for consecutive runs of four or more (SNP, DNP, TNP, ONP, INS, DEL, or Consolidated)
GENE_PHENO: TEXT | Indicates if gene that the variant maps to is associated with a phenotype, disease or trait (0, 1, or null)
End_Position: NUMBER | Highest numeric genomic position of the reported variant on the genomic reference sequence. Mutation end coordinate
gnomAD_AMR_AF: FLOAT | Frequency of existing variant in gnomAD exomes American population
gnomAD_non_cancer_ASJ_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer Ashkenazi Jewish population
Tumor_Validation_Allele2: TEXT | Secondary data from orthogonal technology. Tumor genotyping (validation) for allele 2
RNA_ref_count: TEXT | Read depth supporting the reference allele at this locus if the variant is supported by tumor RNA-seq data.
CDS_position: TEXT | Relative position of base pair in coding sequence. A - symbol is displayed as the numerator if the variant does not appear in coding sequence
MOTIF_SCORE_CHANGE: TEXT | The difference in motif score of the reference and variant sequences for the TFBP
Start_Position: NUMBER | Lowest numeric position of the reported variant on the genomic reference sequence. Mutation start coordinate
gnomAD_non_cancer_MAX_AF_POPS_adj: TEXT | Non-cancer gnomAD genomes populations in which the maximum allele frequency was observed after removing those with less than 2 allele counts
EXON: TEXT | The exon number (out of total number)
PolyPhen: TEXT | The PolyPhen prediction and/or score
HGVSp_Short: TEXT | Same as the HGVSp column, but using 1-letter amino-acid codes
gnomAD_EAS_AF: FLOAT | Frequency of existing variant in gnomAD exomes East Asian population
Tumor_Aliquot_UUID: TEXT | Unique GDC identifier for tumor aliquot (10189 unique)
Verification_Status: TEXT | Second pass results from independent attempt using same methods as primary data source. Generally reserved for 3730 Sanger Sequencing
primary_site: TEXT | Anatomical site of the cancer under investigation or review
Exon_Number: TEXT | The exon number (out of total number)
Codons: TEXT | The alternative codons with the variant base in upper case
Validation_Status: TEXT | Second pass results from orthogonal technology
all_effects: TEXT | A semicolon delimited list of all possible variant effects, sorted by priority ([Symbol,Consequence,HGVSp_Short,Transcript_ID,RefSeq,HGVSc,Impact,Canonical,Sift,PolyPhen,Strand])
RefSeq: TEXT | RefSeq identifier for this transcript
Sequence_Source: TEXT | Molecular assay type used to produce the analytes used for sequencing. Allowed values are a subset of the SRA 1.5 library_strategy field values. This subset matches those used at CGHub
gnomAD_non_cancer_AMR_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer Latino population
pindel: TEXT | pindel caller identified the variant at this position
sample_barcode_normal: TEXT | TCGA sample barcode for the normal control, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
CLIN_SIG: TEXT | Clinical significance of variant from dbSNP
HIGH_INF_POS: TEXT | A flag indicating if the variant falls in a high information position of a transcription factor binding profile (TFBP) (Y, N, or null)
file_gdc_id: TEXT | |-delimited list of unique GDC identifiers for underlying MAF file
Tumor_Validation_Allele1: TEXT | Secondary data from orthogonal technology. Tumor genotyping (validation) for allele 1. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases
FLAGS: TEXT | Transcript quality flags
ESP_EA_AF: FLOAT | Non-reference allele and frequency of existing variant in NHLBI-ESP European American population
BAM_File: TEXT | Not in use
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
ThousG_SAS_AF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined South Asian population
Consequence: TEXT | Consequence type of this variant; sequence ontology terms
mutect2: TEXT | Mutect2 caller identified the variant at this position
NCBI_Build: TEXT | The reference genome used for the alignment (GRCh38)
Variant_Classification: TEXT | Translational effect of variant allele
Protein_position: TEXT | Relative position of affected amino acid in protein. A - symbol is displayed as the numerator if the variant does not appear in coding sequence
ENSP: TEXT | The Ensembl protein identifier of the affected transcript
ThousG_AMR_AF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined American population
TREMBL: TEXT | UniProtKB/TrEMBL identifier of protein product
Match_Norm_Seq_Allele2: TEXT | Matched normal sequencing allele 2
HGVSc: TEXT | The coding sequence of the variant in HGVS recommended format
Amino_acids: TEXT | Amino acid substitution caused by the mutation. Only given if the variation affects the protein-coding sequence
Entrez_Gene_Id: NUMBER | Entrez gene ID (an integer). 0 is used for regions that do not correspond to a gene region or Ensembl ID
cDNA_position: TEXT | Relative position of base pair in the cDNA sequence as a fraction. A - symbol is displayed as the numerator if the variant does not appear in cDNA
TRANSCRIPTION_FACTORS: TEXT | List of transcription factors which bind to the transcription factor binding profile
normal_submitter_uuid: TEXT | Unique GDC identifier for the normal file submitter
ThousG_AFR_AF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined African population
case_id: TEXT | Unique GDC identifier for the underlying case
Existing_variation: TEXT | Known identifier of existing variation
aliquot_barcode_tumor: TEXT | TCGA aliquot barcode for the tumor, eg TCGA-12-1089-01A-01D-0517-01
Match_Norm_Validation_Allele2: TEXT | Secondary data from orthogonal technology. Matched normal genotyping (validation) for allele 2 (cleared in somatic MAF)
APPRIS: TEXT | Annotates alternatively spliced transcripts as primary or alternate based on a range of computational methods
MOTIF_POS: TEXT | The relative position of the variation in the aligned TFBP
TSL: TEXT | Transcript support level, which is based on independent RNA analyses
Tumor_Seq_Allele1: TEXT | Primary data genotype for tumor sequencing (discovery) allele 1. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases
